,label,class_id,rot_x,rot_y,rot_z
0,bathtub,0,0,0,0
1,bathtub,1,0,0,90
2,bathtub,2,0,0,180
3,bathtub,3,0,0,270
4,bed,0,0,0,0
5,bed,1,0,0,90
6,bed,2,0,0,180
7,bed,3,0,0,270
8,chair,0,0,0,0
9,chair,1,0,0,90
10,chair,2,0,0,180
11,chair,3,0,0,270
12,desk,0,0,0,0
13,desk,1,0,0,90
14,desk,2,0,0,180
15,desk,3,0,0,270
16,dresser,0,0,0,0
17,dresser,1,0,0,90
18,dresser,2,0,0,180
19,dresser,3,0,0,270
20,monitor,0,0,0,0
21,monitor,1,0,0,90
22,monitor,2,0,0,180
23,monitor,3,0,0,270
24,night_stand,0,0,0,0
25,night_stand,1,0,0,90
26,night_stand,2,0,0,180
27,night_stand,3,0,0,270
28,sofa,0,0,0,0
29,sofa,1,0,0,90
30,sofa,2,0,0,180
31,sofa,3,0,0,270
32,table,0,0,0,0
33,table,1,0,0,90
34,table,2,0,0,180
35,table,3,0,0,270
36,toilet,0,0,0,0
37,toilet,1,0,0,90
38,toilet,2,0,0,180
39,toilet,3,0,0,270
